"species_id","display_name","scientific_name","breed","accession","assembly_name","assembly_level","source_db","genome_mb","gc_percent","scaffold_n50_mb","data_status","data_note"
"cattle","Cattle","Bos taurus","Hereford","GCA_002263795.4","ARS-UCD2.0","Chromosome","GenBank",2770.67,42,103.31,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Hereford","GCF_002263795.3","ARS-UCD2.0","Chromosome","RefSeq",2770.67,42,103.31,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"sheep","Sheep","Ovis aries","Rambouillet","GCA_016772045.2","ARS-UI_Ramb_v3.0","Chromosome","GenBank",2654.05,42,101.27,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"sheep","Sheep","Ovis aries","Rambouillet","GCF_016772045.2","ARS-UI_Ramb_v3.0","Chromosome","RefSeq",2654.05,42,101.27,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"goat","Goat","Capra hircus","San Clemente","GCA_001704415.2","ARS1.2","Chromosome","GenBank",2922.6,43,87.28,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"goat","Goat","Capra hircus","San Clemente","GCF_001704415.2","ARS1.2","Chromosome","RefSeq",2922.6,43,87.28,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Xieka cattle","GCA_059336145.1","ASM5933614v1","Complete Genome","GenBank",2720.54,42,108.55,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"sheep","Sheep","Ovis aries","Najdi sheep","GCA_057332215.1","NLFDP_OvArieNajdiFemle_T2T_1.0","Complete Genome","GenBank",2695.02,42.5,104.17,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"goat","Goat","Capra hircus","Inner Mongolia cashmere goat","GCA_040806595.1","T2T-goat1.0","Complete Genome","GenBank",2863.92,43,100.79,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
"cattle","Cattle","Bos taurus","Guyuan cattle","GCA_051106085.1","Guyuan_Btau_1.0","Chromosome","GenBank",2857.46,42.5,117.94,"project","Generated from an NCBI table export. Enriched with assembly metrics from assembly_data_report.jsonl."
